"ElectionNumber","Name_English","Name_Original","City"
"178","???? ???? ???????? ????????","Muhammad Ali Nawarahmad Al-
Dulaimi","???????"
"1780","????????? ???? ????????? ?????????????","Muhammad Adnan Hamid Muhammad Hasirn Ab-
dul Jabbar Thiab","?????"
"1781","???? ??????? ????????? ??????? ????????","Ahmad Mohammad Reza Abdulhamid Ibrahim
Al-Hilali","?????"
"1782","???? ???? ???? ???? ????????","Sarah Jalil Hadi Al-Zamili Tre-
atment","?????"
"1783","???? ???????? ???? ???????","Harith Jawidkadhim Doji Al-Shabli","?????"
"1784","???? ???????? ???? ???????????","AzizHanunSami  ???? ???????????","?????"
"1785","????? ??????? ???? ????? ??????","Hasirn Abdali Ghaib Hamadi Al-Saadi","?????"
"1786",".???????????? ???? ???","Sahar Jabbar Yaqoub Mohammed Maji","?????"
"1787","??? ???? ???? ???????? ?????????","Saad Dhamid Abbas Abdul-Ridha
Al-Shaibani","?????"
"1788","???????? ???? ??????????","Jamal Kamel Hashem Arar Al-Zaidi","?????"
"1789","???? ?????????? ???? ???????? ???","Ali Abdul-Hussein Muhammad Abdul-
Ridha Wahhab","?????"
"179","???? ?? ????? ???? ????????","Riyadh Taha Hardan Ali Al-Maamouri","???????"
"1790","????? ??? ????? ??? ???????","The obligation of Rida Hasiran Hassan Al-Moussawi","?????"
"1791","????? ????? ??? ???? ????????","Adnan Fayhan Mus Sirr Y Al-Dulaimiyi","????"
"1792","???? ???? ??????? ????? ????????","Habib Hashim Abd Aliy Hasir N       Al-Dulaimiyi","????"
"1793","????????? ???? ???? ?????????","Thamerdhiban Hassoun Aboud
Al-Hamdani","????"
"1794","???? ????? ???? ????? ????????","Nidal Hasir Jassim Hammadi Al-
Tufaili","????"
"1795","???? ???? ???? ???? ????????","Baha Ahmed Razin Saleh
Al-Shar Yafan","????"
"1796","???? ???? ????? ?????? ???????","Amir Ali Shaalan Abdulzaid Al-Jadoui","????"
"1797","???? ???? ???? ???? ????????","Ali Obaid Hamid Nizam Al-Masoudi","????"
"1798","??? ???? ????? ??? ??????","Heba Tariq Hasir N        Abd Al-Issawi","????"
"1799","???????? ?????????????","Nasir Mahdi Sakbkamar Al-Azzawi","????"
"18","??????? ???? ???","Sir Hassan Mohammad Hassan","?????"
"180","????? ????? ??? ????? ????????","Samia Amhan Hamad Hamadi Al-Fahdawi","???????"
"1800","??? ???? ????????? ??? ???????","Laith Abbas Abdul Amir Najm Al-Rubaie","????"
"1801","???? ????? ???? ???? ????????","Ali Turkiyi body Ali Al-Mansouri","????"
"1802","???? ???? ???? ????? ??????","Zainab Mohammed Jassim Haseer N
Al-Maskak","????"
"1803",".?????. ???? ????????? ??","
Rahim Jabbarmansi Jijnani","????"
"1804",".????? ???? ???????? ?????","I miss Talib Jawad Kazem Al-Jiyi","????"
"1805","???? ???? ????? ???? ??????","Nael Talib Hasir N       Ali Al-
Shahan","????"
"1806","??? ???? ?????????? ????????? ????????","Muthanna Muhammad Abdul Haseer N Abdul Sa-
hib Al-Fatlawi","????"
"1807","???? ????????? ???? ???? ????????","Aqil Abdul Hadi monitored Barak Al-Silawi","????"
"1808","???? ???? ?????????? ???? ??????","Hossam Ghalib Abdulhasser Mohammad Ma-
hmoudi","????"
"1809","???? ???????? ??? ???????","Alaa Mohammed Karim
Abdul Sultani","????"
"181","????????????????? ???? ?????????","Thaer Abdul-Jabbar Muhammad Mashhad Al-Jalibawi","???????"
"1810","????? ???? ??????? ????????","Amina Ghanem Nasser Al-Ajili","????"
"1811","???? ????? ????? ??? ?????","???? ????? ????? ??? ?????","????"
"1812","???? ??? ???? ???? ????????","Ahmed Hassan Awda Zaal Al-Ghanmiyi","????"
"1813","????? ???? ???? ???? ????????","Names of Mahdi Saleh Qasim Al-Nafaat","????"
"1814","???? ???? ???? ???? ????? ????","Maytham Abbas Mohammed Jassim Al-Hajj Obaid","????"
"1815","???? ??? ???? ???? ?????","Ali Badr Obaid Radam Azz-
awi","????"
"1816","????? ???? ???? ???? ????????","Zahraa Adel Jawad Tayeh Al-Maamra","????"
"1817","???? ???? ???? ???? ????????","Ahmed Marza Hamza Dakhil Al-Karawi","????"
"1818","??? ???? ????? ???? ?????","Hassan Hamed Saadoun Nabij Shabana","????"
"1819","???? ????????? ???????? ????????","Nizar Abdul Hamza Azizham Al-Ajili","????"
"182","???? ????? ???? ????? ????????","Imad Mazban Awad Shihan Al-Maamouri","???????"
"1820",".????? ???? ????????? ???????????","Aziza Hamza Abdul Razzaq Shakheer Al-Janani","????"
"1821","??????????? ???????? ?????","Bandar Abd Mohsen Jamramjbash, Swedish","????"
"1822",".??? ???????? ???????????","Maha Fadel Kazem Khadir Al-Janani","????"
"1823","?????????????? ??? ????","Yasra Sikandar Jawad Hassan and Toot","????"
"1824","??? ???? ????? ???? ???????","Raad Hamza Alwan Aboud Al-Jubouri","????"
"1825","???? ???????? ??????????","Ahmad Fawaz, the owner of the
Zahrutifani","????"
"1826","???? ???? ???? ????? ????????","Hanan Saeed Mohsen Alwan Al-Fatlawi","????"
"1827","???? ???? ???? ????? ???????","     Taleb Khalil Rahi Hasir N
                      al-Yasari","????"
"1828","???? ???? ??? ???? ???????","Ahmed Habib hit me Al-Abbasi","????"
"1829","???? ???? ???? ????? ???????","Sadiq Jawad Muhammad Rasn Y Al-
Awady","????"
"183","??? ???? ??????? ???? ????????","Anas Khalil Ismail Hamoud Al-Jumaili","???????"
"1830","???? ???? ????????? ????? ????????","???? ???? ????????? ????? ????????","????"
"1831",".?????????? ???????? ???????","Mansour Haseer N Madour Abbas Al-Baeiji","????"
"1832","???? ??????????? ???????","Rashid Adaykur and Hamza Al-Azzawi","????"
"1833","???? ???? ??? ??? ??????","Faisal Wissam Maji Abbas Al-Haimas","????"
"1834","??? ???? ??? ??????????","Nada Mohammed Hassan Shukraldoban","????"
"1835","???? ???? ??? ????? ???????","Hamza Obaid Musa Imran Al-Omran","????"
"1836","????? ???? ???? ????? ????????","
Anmar Saleh Issa Imran Al-Ajili","????"
"1837","???????? ??????? ???? ???????"," Yasser Khalil Ibrahim NayefSa-
                     adounni","????"
"1838","????? ???????? ???? ???????"," Makarim Samir Hakim Hatem Al-
                      Nafei","????"
"1839","???? ???? ???? ???? ???????","Muhammad Hatem Majeed Muhammad Al-
Talthi","????"
"184","??? ???? ???? ????","Zaid Ali Hammad Samir","???????"
"1840","???? ???? ???????? ?????","Ahmed Mohammed Jaber Mohammed Al-Khalaf","????"
"1841",".???? ??????? ???? ???? ???????","Mohammed Abdullah Jassim Mohammed
Al-Janani","????"
"1842",".????? ????? ????? ????? ???????","Suhaila Hasir N        Shatanan Shaalan Al-Khafaji","????"
"1843","????? ???? ????? ????? ???????","Hasirn Jihad Salman Khatlan Al-Amri","????"
"1844","???? ???? ????? ????? ???????","Ahmed Majid Akram Khanyab Muslimavi","????"
"1845","???? ???????? ???? ??????","Habib Jabbar Attia Ali Al-Zaidi","????"
"1846","???? ???????? ????? ??????","Zainab Hamza Kazim Mansi Al-Shammari","????"
"1847","???? ???? ???? ????? ???????","Sabah Hamid Dhaif Marzouq Al-Jubouri","????"
"1848","???????? ??? ??? ???????","Nazir Muhammad, the father of Atab al-Muhammadi","????"
"1849","???????? ????? ????? ?????","Ali Kazem Salman Aliwi Shajer Y","????"
"185","???? ?????? ????????? ???? ????????","Ahmed Nadallah Abdulkarim MakhloufAl-Fahdawi","???????"
"1850",".???? ??????? ??? ???? ???????","Nidal Abdullah Hamad Abbas Al-Janani","????"
"1851","???? ???? ???????????? ??????","Sami Salam Abdul Khadhan Talib
Al-Zaidi","????"
"1852","????????? ???? ???? ??? ???????","Abdul Rahim Hatem Muzail Habl Al-Nafi'
i","????"
"1853","???? ????? ???? ????? ???????","Maytham Anidi Ali Hasir N        Al-
Abadi","????"
"1854","????? ???????? ???? ??? ??????","Suhaila Abdul-Ridha Hamid Badan Al-
Lami","????"
"1855","???? ???? ???? ???? ??????","???? ???? ???? ???? ??????","????"
"1856",".???? ???? ????? ????? ?????","Mohsen Falih Hasir N       Farhood Al-Jiyi","????"
"1857","???? ???? ??????????? ????","Good morning, dear Hadi Aziz Abdullah Bayi","????"
"1858",".???? ???? ???? ???? ???????","Ahmed Talib Obaid Zghair Al-Janani","????"
"1859",".???? ???? ???? ???? ???????","Ayad Hamid Rashid Subkha Al-Janani","????"
"186","????? ??? ???????????","Arkan Khalaf
Tarmosr Free","???????"
"1860","???????? ????????????? ????","Abeer Mohammed Abdul Amir Mohammed Ha-
mmad","????"
"1861","???? ????? ????????? ??????????","Alaa Hasir n Mansour Abbas Al-Talaqani","????"
"1862","???? ???? ???? ?????????? ?????","Fadhel Abbas Nayel Abdel Haseer N Al-Dharb","????"
"1863","???? ????? ???????? ???????","Alaa Qahtan Aziz Saleh Al-Safni","????"
"1864","????? ???? ???? ???? ?????","In'am Ali Kazim Nazir Sultan","????"
"1865","???????? ???????. ???? ??","Munirji Khadir Abbas Al-Nafi'i","????"
"1866","???????? ???? ???? ??????","Haider Jassim Malik left the forest","????"
"1867","???????? ???? ??? ????????","I am completely afraid ofFahad
Saeedani","????"
"1868",".??? ???????? ????? ???????","Spa Jasm Kazem Omran Al-Khafaji","????"
"1869","???? ???? ???? ???? ????????","Ali Mahdi Diab Habib Sae-
edani","????"
"187","???? ????????? ????","Nahla Jabbar Khalifa Mohsen","???????"
"1870","???? ???? ??? ????? ?????????","Faisal Ali Abdul Samawi Al-
Hamdani","????"
"1871",".????????? ???? ????? ???? ???????","Abdul Hamza Munim Alwan Obaid Al Khafaji","????"
"1872",".????? ?????? ???? ???????","Talents of Sahar Abdul Jassim Al-Khafaji","????"
"1873","???? ????????? ????? ??????","Ali Jaber Alwan Hantoush Al-Kawam","????"
"1874","???? ???? ??? ???? ??????","Alaa Lafta Hassan Abbas Al-Abbas","????"
"1875","???? ??????? ??? ????? ???????","Sarmed Abdullah Hamad Obaidi Al-Zuhair Y","????"
"1876","????? ????? ???? ???? ??????","Samira Adnan Mahdi Harran Al-Haran","????"
"1877","??? ??? ?????????????? ?? ????","Louay Aman Abdulaziz Farhan Al-Wawi","????"
"1878","????????? ????? ???? ???????","Adnan Kazem Farhoud Ghazi Al-Wasmi","????"
"1879","??????? ???? ????????? ???? ??????","Ibrahim Kazim Abdul Mahdi Muzal Al-Khalil","????"
"188","????? ???? ????? ????? ????????","Watban Jamal Saadoun Aifan Al-Issawi","???????"
"1880","???????? ???????? ?????????","Flowers Kamel Shaher Jas-
sim Al-Naamani","????"
"1881","???? ???? ???? ??? ???????","Ahmed Hamed Ali Abdel Khalidi","????"
"1882","????????? ???? ???? ???????","Anwar Haseer N Makhif Abees Al Am-
ari","????"
"1883","???? ????? ???? ????? ????????","Good morning Haseer N Rashid Brisam Al-
Issawi","????"
"1884","????? ????? ???? ??? ????????","The deceased, Ikram Ahmed Abdel-Maamouri","????"
"1885","??????. ??? ???????? ????","Saif Salim Kazim Naji Al-Alak","????"
"1886","????? ???? ????? ????? ??????","Nair An Munim Hasir N       Salman
Al-Shabib","????"
"1887","????????? ????? ???? ???? ?????????","Abdul Karim Daboul Obaid Da-
ham Al-Sultanani","????"
"1888","???? ???? ??????? ???????","Ali Issam Matarhamoud Nakhilawi","????"
"1889","???? ???? ????? ???? ???????","Ghassan Nazim Hammadi Shabib Al-Jubouri","????"
"189","??????? ????? ???? ????????","Omar Hamid Nofan Mujbil Al-Jumaili","???????"
"1890",".???? ???? ???? ???? ?????","Bahjat Muhammad Shahid Abbud Janani","????"
"1891",".???? ???? ???? ????? ???????","Bashar Jawad Nomi Sh-
anni Al-Janani","????"
"1892","???? ???????? ?????????????","Amna Shaker Obaid Kha-
dir Al-Alwani","????"
"1893",".????? ???????? ??? ???? ????? ????","Mustafa Abdul Redha Najm Aboud Qasn Y
Gian","????"
"1894","???? ????? ???????? ????? ???????","Ahmed Mohsen Abdul Redha Salman Al-Awidi","????"
"1895","???? ???? ???? ????? ???????","Jassim Mohammed Obaid Sultan Al-Jabouri","????"
"1896",".????? ???? ???? ???? ???????","Zahraa Baha Mahdi Faris Al-Khafaji","????"
"1897","?????????? ???? ??? ???????","Waiting for Adnan Urgent Hassan Al-Kriti","????"
"1898",".???? ???? ???? ????? ???????","Ahmed Majeed Obaid Eidan Al-Khafaji","????"
"1899","???? ???? ????????????????","Haitham Ahmed Shamir Khadir Al-Jariwi","????"
"19","?? ???????? ???? ????","Dear Riar Jamil Saleh,","?????"
"190","????? ???? ????? ????","Mushtaq Taleb, a keen seeker of a noble
cure.","???????"
"1900","???? ???????? ????? ???????","Zainab Khader Karim Akhir S Al-Saeedi","????"
"1901","???? ???? ??? ???? ????????","Ali Saeed Hassan Ali Al-Akeely","????"
"1902","???? ???? ??? ???? ???????","Muhand Salim Abdul Aboud Al-
Rubaie","????"
"1903","???? ???? ?????????? ???? ????????","Ali Kamel Abdel-Hassan Hassan Al-
Fatlawi","????"
"1904","????? ???????? ???? ????? ???????","Israa Abdul Hassan Mohsen Hamidi Al-Owaidi","????"
"1905","???? ???????? ???? ????????","Muhammad Zahir Mohsen Jawad Al-Sharifat","????"
"1906",".????? ???????? ???? ??","Hasirn Shaker Mahdi Saleh Shi","????"
"1907","???? ???? ??? ???? ?????","Abbas Mohammed Hassan Ali Al-
Kim","????"
"1908","???? ???? ???? ???? ????","Kholoud Razak Hanoun Indian Scary","????"
"1909","???? ??? ???? ???? ????????","Ahmed Hassan Ali Obaid Al-Maamouri","????"
"191","????? ???? ???? ???? ????????","Buds of Mu'ayyad Aboud Fayyad Al-Jumaili","???????"
"1910",".???? ????? ???????? ???????","Sanaa Haseer N Dhaher Marhash
Al-Janani","????"
"1911","???? ??? ????? ????? ???????","Abbas Abdul Dhaidan Hamadi Al-Dahimish","????"
"1912","??? ???????? ????? ??????","Hassan Shakeroudeh Hasir N       Al-
Kaathy","????"
"1913","????????????? ???? ????? ????????","Abdul Amir Dakhil Rashid Kharmit Al-Jidyawi","????"
"1914","??????? ???? ??????? ???? ??????","Ibrahim Hadi Abdullah Hamza Seriawi","????"
"1915","???? ????? ???? ???? ??????","Alaa Salman NayefJadoua Al-Kroui","????"
"1916","???? ???? ????? ?????????? ???????","Mohammed Hazza Fantail Abdul Haseer N
Al Sultan","????"
"1917","???? ???? ???? ????? ??????","Sabah Muhammad Atiya Majari Al Shamri","????"
"1918","????????? ??? ???? ???????","???? ????? ??? ???? ???????","????"
"1919","????? ???????? ????????? ??? ??????","Nadia Abdel Hassan Abdel Zahra Hassan Dghair At","????"
"192","???? ????? ?? ???? ????????","Peace be upon you, Taha Ali al-Halbousi","???????"
"1920","???????? ????? ??? ????????","Haider Hadi Hasiran Fadl Al-Mansouri","????"
"1921","???????? ???? ???? ????????","???? ???? ???? ???? ????????","????"
"1922","???? ???????? ???????????","Wathiq Shaker Abbas Nasser Al-Moussawi","????"
"1923","???????? ????? ???? ??????","??? ????? ????? ???? ??????","????"
"1924","???? ???? ???? ????? ??????","Hazza Mohammed Abbas Bustan Al Shamri","????"
"1925","???? ???? ???????? ???? ??????","Muhammad Issa Abdul-Nathi Fadhel Al-
Banna","????"
"1926",".??? ???? ???????? ???????","Hassan Hadi Fakhrikadhim Al-Janani","????"
"1927","???? ???? ?????? ?????? ????????","Nidal Kazim Saeedan Dalimiyi Al-Ajiliyi","????"
"1928","?????? ???? ???? ????? ????????","I became a ghoul Abbas Jassim Atwan Al-Fatlawi","????"
"1929","???? ???? ??????? ???????","Abbas Ali Nasser Hamad Nakhilawi","????"
"193","???? ??? ?????????. ???? ???","Arif Mukhisyad Hamad Al-Alwani","???????"
"1930","???? ??? ????? ????? ????","Kazem Hassan Alwan Makkawi Shamri","????"
"1931","???? ??? ???? ????? ???????","Hana Nour Jafar Idam Al-Awady","????"
"1932","????? ???? ???? ???? ???????","Mithaq Imad Hakim Hatem Al-Nafi'i","????"
"1933","??? ???? ???? ???? ?????????","Hassan Hadi Doyle Abbas Al-Khaikanani","????"
"1934","???? ??? ???? ???? ?? ????","Mohammed Qais Qasim Obaid Al Sabah","????"
"1935","????? ????? ???? ???? ??????","Israa Mahmoud Rahim Jassim Al-Shammari","????"
"1936",".???? ???? ???? ??? ???????","Hashem Ghazi Abbas Abdul Khafaji","????"
"1937","???????? ????? ????? ???????","Jawad Kadhim Shadhan Haseer N Al-
Jabouri","????"
"1938","???? ???? ???? ??? ?????????","Ali Kazim Aboud Hassan
Al-Hamdani","????"
"1939","????? ???? ???? ???? ????????","Enaam Wahid Jiyad Mani' Al Mansouri","????"
"194","???? ??? ???? ???? ????????","Kamal Raja Muhammad Haddad Al-Issawi","???????"
"1940","??? ???? ????? ???? ?????????","Saif Ali Hasir N       Jassim
Al-Sultani","????"
"1941","??? ??????????? ?????????","Louay Khader Abdulkadhim
Al-Alwani","????"
"1942","???????? ??? ???? ?? ????","Nizar Shahid Hassan Hamoud Al Obaid","????"
"1943",".???? ???? ???? ???? ??????","Rafaa Hamid Abboud Saleh Al-Harni","????"
"1944","???? ??? ?????????? ???? ????????","???? ??? ?????????? ???? ????????","????"
"1945","????? ???? ??? ???? ?? ????","The beds are on the bed of Abdul
Dakhil Al Dakhil","????"
"1946","????? ???? ???????? ???? ???????","I feel sorry for Abdul Redha Habib Al-Ramaji","????"
"1947","???? ???? ???? ???? ?????????","Adel Nemah Najib Hamoud Al-
Khaikanani","????"
"1948",".???? ???? ???? ????? ???????","Ahmed Hamid Obaid Rasn Y Al-Khafaji","????"
"1949","???? ??? ???? ???? ?????","Kifah Hassan Ali Muhammad Am-
ari","????"
"195","???? ????? ???? ???? ??????","???? ????? ???? ???? ??????","???????"
"1950",".?????? ???? ?????????? ???????","Regret N Faris Mansour Samawi Al-Khafaji","????"
"1951",".??????? ????? ???? ??????? ???????","Abdullah Salman Obaid Jarallah Al-Khafaji","????"
"1952","??? ???? ????????? ???? ??????","Raad Jassim Abdul Mahdi Hamza Al-Shathi","????"
"1953",".???? ???? ???? ????? ???????","The Battle of Muhammad Hadi Alwan Al-Khafaji","????"
"1954","???? ????? ???? ????? ????????","Ali Hasirn Urgent Aliwi Al-Issawi","????"
"1955","???? ??????? ???? ???? ????","Wael Mekikadhim Mohammed Ali Al-
loush","????"
"1956","???? ????? ???? ???? ????????","Maytham Rawdan Abbas Jumah Al-Musadi","????"
"1957","????? ???? ???? ???? ???????","????? ???? ???? ???? ???????","????"
"1958","???? ???? ???? ????? ???????","Akram Jawad Ali Hasiran Has-
iran","????"
"1959","???? ???? ???????? ????????","Safaa Hakim Jabbar Jasoum Al Mansouri","????"
"196","????? ???? ????? ????? ????????","Farouk Tayeh Hardan Mahdi Al-Jgheifen
Y","???????"
"1960","????? ????????? ???? ????? ?????????","Arkan Abdulkadhim Abbas Aliwi
Al-Hamdani","????"
"1961","??? ???? ???????? ????? ????","Amal Attia Khadir Abbas Al-Qarah Ghali","????"
"1962","???????? ???? ???? ????????","Ammar Rahim Abis and the people of Al-Bujassim","????"
"1963","???? ???? ????? ???? ????????","Haitham Ghaleb Haseer N Sajit Al-Maamouri","????"
"1964","???? ???? ???? ??? ???????","???? ???? ???? ??? ???????","????"
"1965","???? ???????? ????????????","Wafaa Kamel Kazem Naher Al-Hasnawi","????"
"1966","???? ????????? ???? ??????? ???????","Ali Abdul Karim Khalil Ibrahim Al-Jubouri","????"
"1967","????? ???? ???? ???????????","The head of the ignorant Hamid Khuair Al-
Jabouri","????"
"1968",".???? ???? ???????? ???????","Hamid Hamza Mazhar Attia Al-Khafaji","????"
"1969","???? ????? ???? ???? ?? ?????","Marwa Shaalan Jassim Suwaif Al Sultan","????"
"197","???? ??? ???? ?????","Ghanem Awad Wahab Aifan","???????"
"1970","???? ???? ??????? ??? ???????","Amjad Hamza Abdullah Dahsh Al-Jabouri","????"
"1971","???? ???? ??????? ?????????","Khaled Dhaigham Tamrajasim
Al-Sultani","????"
"1972","???? ???? ???????? ???? ????????","Amir Basem Abdel-Alim Aboud
Al-Shar Yifn Y","????"
"1973","???? ???? ???? ???? ???????","Ali Karim Ali Hawi Al-Jabouri","????"
"1974","????? ???? ??????? ??????????","Hasir N       Hamoud Abdullah Ghafr
Al-Abadi","????"
"1975","????? ???? ???? ???? ??????","Ranya Mohsen Habib Mahdi Al-Hali","????"
"1976","???? ????? ????? ????? ???????","Dhiyab Sarhan Mushan JafjafAl-Aramy","????"
"1977","????? ???? ???? ??????????????","Tweet Mehdi Majeed Jaafar Al-Muslimani","????"
"1978","????? ?????. ???? ???? ????","Muhammad Hamza NajiNghamish Aja-
far","????"
"1979","???? ??? ???? ???????????","MuhandNajm Obaid Nasser Al Ain
Ni","????"
"198","???? ???? ?????? ??","Muhammad Ali Suleiman
Taha","???????"
"1980",".???? ???? ??? ??????????","Tariq Salah Hassan Shammar Al-Khafaji","????"
"1981","???? ?????????? ?????????","Ali Mughair Nadif Faisal Al-Jahisi
Y","????"
"1982","??????????? ??????????","Nour Jabbar Karim Zahir Al-Zahir","????"
"1983","????????? ???? ???? ????????","Karar Hasirn Abis Jarad Al-Masoudi","????"
"1984","???? ????? ???? ???? ????????","Qasim Farhan Anad Hamza Al-Maraksi","????"
"1985","??????? ???? ??? ???? ???????","??????? ???? ??? ???? ???????","????"
"1986","????????? ???? ???? ?????????","Suhaila Kazim Jassim Abbas Al-
Saadounni","????"
"1987","???? ???? ????? ???? ????","Fouad Rahim Hasirn Alie
and Toot","????"
"1988","???? ??? ???? ???? ???????","Falih Hassan Hadi Hamoud Al-Rubaie","????"
"1989","???? ???? ???? ???? ????????","    Hazem Jawad Kazim Daw-
            ood Al-Faranari","????"
"199","????? ???????. ???? ???? ???","Maisam Fayyad Shim Ja'ata Al-Rifai","???????"
"1990",".????? ???? ??? ????? ???????","Israa, the owner of the honey Hasir N
Al-Janani","????"
"1991","???? ???? ??? ???? ???????","Qasim Hamid Musa Abbas Al-Kriti","????"
"1992","????? ????? ???????? ????????","I am saddened by the death of Kazem Al-
Maamouri","????"
"1993","???????????????? ?????","Karar Haydarsah Sultan Yasari","????"
"1994","?????????? ??? ???? ?????????","Waiting for Ahmed Bahar Obaid
Al-Sultani","????"
"1995","????? ???? ???? ???? ????????","I feel sorry for Jassim Abis Al-Karawi","????"
"1996","????? ???????? ????? ??????","Green sticks, anklets, Sarwan and
Taifan","????"
"1997","??? ???? ?????????","Qusay Hatem Aziz Alwan","????"
"1998","????? ??? ???? ???? ?????","Basheera Hassan Majeed Hassoun Al-Har","????"
"1999","???? ???? ??????? ????????????","Hussam Mohammed Ibrahim Khadir Al-Mamouri","????"
"2","???? ???? ????????? ??????? ????","Abbas Mohammed Abdul Karim Abdullah Majeed","?????"
"20","???????? ?????????","Hawar Hassan Qader Hassir","?????"
"200","????? ??? ???? ????","Mustafa Abdul Saleh Mo-
hammed","???????"
"2000","???????????? ???? ?????","Haider Khadir Abbas Ali Azzawi","????"
"2001","???? ???? ???? ????????????","Abbas Jassim Habib Zaheratijawi","????"
"2002","???? ????? ???? ???? ???????"," Flower of Hasir N       Ali Ab-
            bas Al-Himir Y","????"
"2003","???????? ???? ???? ????????","Thamer Maksad Hamza Mughid Al-Maamouri","????"
"2004","???? ???? ???? ???? ???????","Ali Fadhel Abbas Mutab Al-Rubaie","????"
"2005","???? ??? ???????? ???????","Hadeel Qusay Khudair Mohammed Al-Zubaidi","????"
"2006","????? ????????? ???? ????","Shaima Aziz Hamdan Ali Ajeel","????"
"2007","????????????? ??? ???? ??????","Haider Abdul Muttalib Hassan Abbas Rawashdi","????"
"2008","??? ????? ???? ???? ???????","Saif Arkan, the owner of the Al-Jabouri tribe","????"
"2009","???? ???????? ????? ???????","Ali Khaled Karim Hasir Al-
Jabouri","????"
"201","????? ???? ????? ???? ???????","????? ???? ????? ???? ???????","???????"
"2010","??? ????? ????????. ????","Nias Fahd Haseer N Saber Majed","????"
"2011","?????????????????? ???????????","Nimir Shaker Abdul Haseen Khadhn Al
Shabany","????"
"2012","???????? ?????????? ???? ????????","Khaled Kamel Abdel-Hassan Hamza Al-
Maamouri","????"
"2013",".??? ???? ??? ????? ???????","Hassan Faddam Asal Hasirn Al
Janani","????"
"2014",".???? ???? ???? ???? ???????","Riyadh Aday Aboud Tamim Al-Khafaji","????"
"2015","???? ???? ????????? ????? ?????????","Asaad Munim Abdul-Kazem Mutak Al-Muslimawi","????"
"2016","??? ????? ??????? ???? ???????","Hassan Mandeel Abdullah Hamza Al-Shiawi","????"
"2017","????? ????? ????????? ???????????","Rafala Rasn Y Abdul Karim Nidal
Al-Jahisr Y","????"
"2018","???? ??????? ???? ??? ????????","Zainab Ismail Attia Hassan Al-Boubdry","????"
"2019","???? ???? ??? ????? ????????","Qasim Rahim Hamad Salman Al-Maamouri","????"
"202","????? ?????? ???? ??????","????? ?????? ???? ??????","???????"
"2020",".????? ??? ???? ???????","Omarta Madb Rashid Al-Janani","????"
"2021","???? ???? ???? ??????? ???????","Muhammad Majid Khalil Ibrahim al-Yassari","????"
"2022","???????????? ???? ???? ?????????","Muhammad Baqir al-Salim Salih Mahdi al-Muslimawi","????"
"2023","???? ???? ???? ???????? ?????????","Khatam Dawood Jalab Abdul-Ridha Al-Muhammadi","????"
"2024","??? ????????. ???? ???? ?????","Mahdi Saadi Arethi Abdul Bouawad","????"
"2025","???? ???? ???? ??? ??????","Ali Jassim Mohammed Hassan Al-Saadi","????"
"2026","???????? ???? ??????????","Haider Karim Badawi Matar Al-Marshadi","????"
"2027","???? ???????? ???? ??????","Aboud Taherzmat Jassim Al-Shathi","????"
"2028","????? ???? ???? ???? ????????","Hamdia Abbas Mohammed Obaid Al-Husaythan
Y","????"
"2029","??? ???? ??? ??????? ????????","Zaid Suhail Najm Abdiyoub Al-Hasnawi","????"
"203","??? ???? ???? ???????","Reem Ghazi Khalil Ibrahim","???????"
"2030","???????? ????? ????? ?????????","Jaafar Alii Atshan Ashour Al-
Ywann Y","????"
"2031","????? ??? ???? ????? ???????","Khalida Hassan Diab Marzouq Al-Marshadi","????"
"2032","???? ???????? ???? ????????","Ahmed Jaafar Mohammed Ali Al-
Waili","????"
"2033","??????? ???? ????? ???????","Hassan Kazem Ali Mohsen Al-Awadil","????"
"2034","???? ???? ????? ???? ??????","Ghawi Hamid Halawi Ghawi Al-Shaddah","????"
"2035",".???? ??? ??? ???????????","Adel Najm Abdel Nassar Al-Janani","????"
"2036","???????? ????????? ????????","???? ???? ???? ????? ????????","????"
"2037","???? ???? ???? ????????????","Ahmed Sami Mohammed Khadir Al-Masoudi","????"
"2038",".????? ???? ???? ??????","Maysoun Saadi Sadiq Jabrshi","????"
"2039",".???? ???? ???? ???? ???????","Rahim Abis Hassoun Mohammed Al-Khafaji","????"
"204","???? ???? ??? ?????","Mohammed Khamis Khalaf Hammadi","???????"
"2040","??????????? ???? ????","Rasha Karim Kazem Jassim Aloush","????"
"2041","???? ???? ???? ??? ????????","Muhammad Ali Obaid KhalafAl-Maamouri","????"
"2042","???? ???? ???? ???? ??????","Sadiq Rasool Hassoun, may God bless you","????"
"2043","???? ???? ???? ?????????????","Zainab Ghazi Hamza Zahir
Al-Alwani","????"
"2044","??????? ??????? ????? ?????","Karar Raad Abdullah Aliwi Ramadan","????"
"2045","???? ???? ???? ??????? ???????","Muththan Razzaq Saleh Ismail Ismail","????"
"2046","???? ????????? ???? ???? ??????","Mohammed Abdul Sahib Abbas Hamza Al-Qassab","????"
"2047","???? ????? ????? ????? ?????????","Ahmed Akram Alwan, the Khaikani
tarboush","????"
"2048","????? ????? ???? ???? ????????","Alia Haseer N Hashem Daw-
ood Al-Shar Yifn Y","????"
"2049",".???? ???? ???? ????? ???????","Rafid Muhammad Hashim Hasiran Al-
Araji","????"
"205","????? ???? ??????? ????","Marwan Mohammed Ibrahim Talal","???????"
