A,Name on ballot,"Candidate

Sequence",,"   Type
      Nominat-
            ion","Electoral
district",,Sex,Candidate's full name,Voter number
251 ,Rights Movement,28 ,,Party,The egg,,"   female
 ",Rana Yaqoub Abdullah Shalash Al-Mufarji,740 
251 ,Rights Movement,29 ,,Party,The egg,,Male,Jafar Rikan Muirflih Al-Mashaal,741 
251 ,Rights Movement,30 ,,Party,The egg,,Male,"Laith Ahmed Dhari Sabaa
Al-Katrani",742 
251 ,Rights Movement,31 ,,Party,The egg,,Male,Ali Mahdikadhim Najm al-Moussawi,743 
251 ,Rights Movement,32 ,,Party,The egg,,"   female
 ",My dear Raad Saeed Hamoud Al-Qatrani,744 
251 ,Rights Movement,33 ,,Party,The egg,,Male,Adnan Abdul Zahra Karim Zwaid Al-Muhammad,745 
251 ,Rights Movement,34 ,,Party,The egg,,Male,Ali Badrja'ir Najjar Al-Ahmad,746 
251 ,Rights Movement,35 ,,Party,The egg,,Male,"Diaa Jalab Amer Awad Al-Husaythan
Y",747 
251 ,Rights Movement,36 ,,Party,The egg,,"   female
 ","Fawzia Mahoud Hasir N       Falji
Al-Marianni",748 
251 ,Rights Movement,37 ,,Party,The egg,,Male,Qais Yasir Musa Mal Allah Musa,749 
251 ,Rights Movement,38 ,,Party,The egg,,Male,Haider Ahmed Matarmahous Al-Awad,750 
251 ,Rights Movement,39 ,,Party,The egg,,Male,Hazem Abdul Amir Wahab Shihab Al-Hamad,751 
251 ,Rights Movement,40 ,,Party,The egg,,"   female
 ",Magda Abdelhassin Rabbat Mzban Zargawi,752 
251 ,Rights Movement,41 ,,Party,The egg,,Male,"Ahmed Jabbar and Mujaddid Khadir
Al-Eidani",753 
251 ,Rights Movement,42 ,,Party,The egg,,Male,"Abdul-Jabbar Aboud, a customer of Hasir Al-
Furaiji",754 
251 ,Rights Movement,43 ,,Party,The egg,,Male,Ali Ghazi Hanoun Muhammad Al-Zarjawi,755 
251 ,Rights Movement,44 ,,Party,The egg,,"   female
 ", Khuloud Jabbar Obaid Mari Al-Amir Y,756 
251 ,Rights Movement,45 ,,Party,The egg,,Male,     Mithaq Subaih Hawshan Khalaf Halaf,757 
251 ,Rights Movement,46 ,,Party,The egg,,Male,Sadiq Jafarbar Faris Al-Hasir N,758 
251 ,Rights Movement,47 ,,Party,The egg,,Male,"Hasir N        Rasn Y Ghanem Jareh
Al-Talaibawi",759 
251 ,Rights Movement,48 ,,Party,The egg,,"   female
 ",Nidaa Mohammed Tayeh Nasser Al-Nasser,760 
251 ,Rights Movement,49 ,,Party,The egg,,Male,Ahmed Naeem Moaidi Fatih Al-Alusi,761 
251 ,Rights Movement,50 ,,Party,The egg,,"   female
 ",Susan Mahdi Ahmed KhalafAl-Ameesh,762 
252 ,Design Alliance,1 ,,      Alliance,The egg,,Male,"Asaad Abdul Amir Abdul Ghaffar
Mahawi Al-Eidani",763 
252 ,Design Alliance,2 ,,      Alliance,The egg,,Male,Aqeel Ibrahim Issa Ali Al-Khalidi,764 
252 ,Design Alliance,3 ,,      Alliance,The egg,,Male,"I became cloudy in the morning, Abdul Mohsen
Armash on me",765 
252 ,Design Alliance,4 ,,      Alliance,The egg,,Male," Yasser N. Hassan Taher Ha-
                     ssan",766 
252 ,Design Alliance,5 ,,      Alliance,The egg,,"   female
 ",Zainab Khazal Makki Jari Al-Maslih,767 
252 ,Design Alliance,6 ,,      Alliance,The egg,,Male,"Ghassan Adnan Ishaq Mahouder Al-
Eidani",768 
252 ,Design Alliance,7 ,,      Alliance,The egg,,Male,"Jihad Saddam Mufer N Muhsin Al-
Abadi",769 
252 ,Design Alliance,8 ,,      Alliance,The egg,,Male,"Rahim Muhammad Khoshn Al-Mayaji's ac-
count",770 
252 ,Design Alliance,9 ,,      Alliance,The egg,,Male,Taher Subaih Falji Hashim Al-Batat,771 
252 ,Design Alliance,10 ,,      Alliance,The egg,,"   female
 ","Salwa Daham Abdul-Ridha Kadhim
Al-Ali",772 
252 ,Design Alliance,11 ,,      Alliance,The egg,,Male,Sahar Salboukh Jaber Al-Mashaal's phone number,773 
252 ,Design Alliance,12 ,,      Alliance,The egg,,Male,"  Murtazan Abboud Fahid Mo-
         hammed Al-Yanunni",774 
252 ,Design Alliance,13 ,,      Alliance,The egg,,Male,"    The secret of Salman Dakhil Hassan Al-
                               Obaidi",775 
252 ,Design Alliance,14 ,,      Alliance,The egg,,"   female
 ",    Susan Aklewi Saleh Hamoud Al-Saad,776 
252 ,Design Alliance,15 ,,      Alliance,The egg,,Male,"     Hamed Abdel-Hassir Muhammad Abtan Al-
                                 Hassir",777 
252 ,Design Alliance,16 ,,      Alliance,The egg,,Male, Ihsan Ali Hasiran Ali Al-Amiri,778 
252 ,Design Alliance,17 ,,      Alliance,The egg,,Male,  Safaa Adnan Majeed Maji Al-Ghanim,779 
252 ,Design Alliance,18 ,,      Alliance,The egg,,"   female
 ","     Fatima Salman Zubari Salem
                  Al-Zarkanani",780 
252 ,Design Alliance,19 ,,      Alliance,The egg,,Male,      Karim Mahjar Karim Alwan HalafSuwaijt,781 
252 ,Design Alliance,20 ,,      Alliance,The egg,,Male,علىي باسم علوان ياسيرن الطوب,782 
252 ,Design Alliance,21 ,,      Alliance,The egg,,Male,"    Hasirn Nasser Amdehli Hassan
                  Al-Yin Azna",783 
252 ,Design Alliance,22 ,,Alliance, The egg,,Male,    Haider Sultan Ahmed Yaqoub Al-Farhan,784 
252 ,Design Alliance,23 ,,Alliance, The egg,,Male,"     Mazen and technician Jawad Mo-
                 hammed Al Majed",785 
252 ,Design Alliance,24 ,,Alliance, The egg,,"female
 ",Inas Abdel-Azim Latif Falji Al-Hajjaj,786 
252 ,Design Alliance,25 ,,Alliance, The egg,,Male,"      Duraid Abdul Bafri Nasser Hamza
                         Al-Miyaji",787 
252 ,Design Alliance,26 ,,Alliance, The egg,,Male,"   Mohammed Hamid Mohsen Ha-
              fez Bathin Y Rakab",788 
252 ,Design Alliance,27 ,,Alliance, The egg,,Male,"Hussam Abdel Amir and the peo-
         ple of Lafni Al-Rukani",789 
252 ,Design Alliance,28 ,,Alliance, The egg,,"female
 ",ضج فاضل عبدالوهاب مجيد العسكري,790 
252 ,Design Alliance,29 ,,Alliance, The egg,,Male,Hatem Taher Jassim Mansour,791 
252 ,Design Alliance,30 ,,Alliance, The egg,,"female
 ",Marwa Hamid Hanzel Ali Al-Thil,792 
252 ,Design Alliance,31 ,,Alliance, The egg,,"female
 ","Nahida Subaih Abdul Zahra Ja-
ndal Al-Halfan Y",793 
252 ,Design Alliance,32 ,,Alliance, The egg,,Male,Hassan Abdel Hadi Ali Rashid Al-Shalash,794 
252 ,Design Alliance,33 ,,Alliance, The egg,,Male,Mofeed Ibrahim Lomi Ali Al-Salem,795 
252 ,Design Alliance,34 ,,Alliance, The egg,,Male,       Asaad Mahmoud Jassim Alwan Al-Khazam,796 
252 ,Design Alliance,35 ,,Alliance, The egg,,"female
 ","   Rana Asghar Mohammad Tafar Moham-
                    mad Nawab Mirza",797 
252 ,Design Alliance,36 ,,Alliance, The egg,,Male,Amir Abdullah Hatem Yashhamdi,798 
252 ,Design Alliance,37 ,,Alliance, The egg,,"female
 ",Dina Shihab Hamad Abbas Al-Musaed,799 
252 ,Design Alliance,38 ,,Alliance, The egg,,Male,"Rawad Ahmed Abdul Karim Mukhur
Al-Ali",800 
252 ,Design Alliance,39 ,,Alliance, The egg,,Male,Asaad Muhammad Pharaoh of the Body of Al-Atish,801 
252 ,Design Alliance,40 ,,Alliance, The egg,,Male,Saadoun Hamid Abdullah Issa Al Majid,802 
252 ,Design Alliance,41 ,,Alliance, The egg,,"female
 ",     Charter of Heliwi Ajlan Salman,803 
252 ,Design Alliance,42 ,,Alliance, The egg,,Male,     Maytham Amer Mohammed Jabbar Al-Amer,804 
252 ,Design Alliance,43 ,,Alliance, The egg,,Male,"    Hisham Abdul Ali Abdul Hassan Mohammed Al-
                                  Mutawwari",805 
252 ,Design Alliance,44 ,,Alliance, The egg,,"female
 ",      Sami Shiaa's talents according to the title,806 
252 ,Design Alliance,45 ,,Alliance, The egداننيg,,Maleم عیسى العاي,حیدرفهمیي حات,807 
252 ,Design Alliance,46 ,,Alliance, The egg,,Male,     Ahmed Ayad Suhail Najm,808 
252 ,Design Alliance,47 ,,Alliance, The egg,,"female
 ",  Surur Abdulhassin Nazrulman Al-Hajjaj,809 
252 ,Design Alliance,48 ,,Alliance, The egg,,Male,Muhammad Abdul Khaliq Ibrahim Malik Faraj Allah,810 
252 ,Design Alliance,49 ,,Alliance, The egg,,"female
 ",      Ghofran Qasim Majout Yasser Al-Maliki,811 
252 ,Design Alliance,50 ,,Alliance,The egg,,Male,Amer Haseer N Jassim Ali Al-Fayez,812 
257 ,State of Law Coalition,1 ,,Alliance,The egg,,Male,"Hayyan Abdul Ghathan Y Abdul Zahra Hazza
Al-Sawad",813 
257 ,State of Law Coalition,2 ,,Alliance,The egg,,Male,Amer Hassan Hashoush Ali Al-Hamoudi,814 
257 ,State of Law Coalition,3 ,,Alliance,The egg,,Male,Ziad Ali Fadel Hawash Al-Razij,815 
257 ,State of Law Coalition,4 ,,Alliance,The egg,,Male,Faleh Hassan Jassim Mutlaq Al-Harishawi,816 
257 ,State of Law Coalition,5 ,,Alliance,The egg,,Male,"Asaad Muhammad Muhammad Ali Muhammad Ha-
ssan Al-Hamozi",817 
257 ,State of Law Coalition,6 ,,Alliance,The egg,,"   female
 ",Awaatef Namah Nahi Sakhirdrisat,818 
257 ,State of Law Coalition,7 ,,Alliance,The egg,,Male,Hussam Yaqoub Abdullah Shalash Al-Mufarji,819 
257 ,State of Law Coalition,8 ,,Alliance,The egg,,"   female
 ",Rehab Ne'ma MaktoufKhashjouri Al-Miyaji,820 
257 ,State of Law Coalition,9 ,,Alliance,The egg,,Male,Hadi Haseer N Qasim Muhammad Al-Hassan,821 
257 ,State of Law Coalition,10 ,,Alliance,The egg,,Male,Safaa Saleh Mahdi Abdul-Khadhdan Al-Siyamer,822 
257 ,State of Law Coalition,11 ,,Alliance,The egg,,Male,"On the bed of Jeidam Sar-
aifen",823 
257 ,State of Law Coalition,12 ,,Alliance,The egg,,"   female
 ","Iman Kareem Jassim Abdul Hassan Al-
Maliki",824 
257 ,State of Law Coalition,13 ,,Alliance,The egg,,"   female
 ",Hawazin Aboud Hashim Lafta Al-Ji,825 
257 ,State of Law Coalition,14 ,,Alliance,The egg,,Male,"Abdulhadi Mohammed Jassim Sul-
tan Al-Hassani",826 
257 ,State of Law Coalition,15 ,,Alliance,The egg,,Male,Adnan Jaber Awda Nasser Al-Diraawi,827 
257 ,State of Law Coalition,16 ,,Alliance,The egg,,Male,Mahdi Faisal Blish Ali Al-Subhan,828 
257 ,State of Law Coalition,17 ,,Alliance,The egg,,Male,"Hanni Sawadi Karam Abbas
Noor",829 
257 ,State of Law Coalition,18 ,,Alliance,The egg,,"   female
 ",Rana Jabbar Mazal Jaber Al-Saadi,830 
257 ,State of Law Coalition,19 ,,Alliance,The egg,,Male,Nabil Shawai Shia Jial-Atwan,831 
257 ,State of Law Coalition,20 ,,Alliance,The egg,,"   female
 ",Rasha Abdul Amir Ramadan Damd Al-Boslimiyi,832 
257 ,State of Law Coalition,21 ,,Alliance,The egg,,Male,Amjad Talib is upset with Ali Al-Saimri,833 
257 ,State of Law Coalition,22 ,,Alliance,The egg,,Male,Hamid Abdul Razzaq Hammadi Salman Al-Ghanim,834 
257 ,State of Law Coalition,23 ,,Alliance,The egg,,Male,Thamer Juma Thamer Shalash Al-Hamoudi,835 
257 ,State of Law Coalition,24 ,,Alliance,The egg,,"   female
 ",Hind Haseer N Aswad Shabib Al-Azhaiwi,836 
257 ,State of Law Coalition,25 ,,Alliance,The egg,,"   female
 ",Saad Abdul Sahib Muhammad Malallah's tape,837 
257 ,State of Law Coalition,26 ,,Alliance,The egg,,Male,Ali Hassan Mufer N Monis Al-Salji,838 
257 ,State of Law Coalition,27 ,,Alliance,The egg,,Male,Walid Hasirn Ali Hasirn Al-Tamimiyi,839 
257 ,State of Law Coalition,28 ,,Alliance,The egg,,"   female
 ",Azhar Hamid Mohsen Faraj Al-Batat,840 
257 ,State of Law Coalition,29 ,,Alliance,The egg,,"   female
 ","Zainab Karmeli Zghair Ob-
aid",841 
257 ,State of Law Coalition,30 ,,Alliance,The egg,,Male,Bassam Qais Abdul-Jabbar Ahmed Al-Mutawwari,842 
257 ,State of Law Coalition,31 ,,Alliance,The egg,,Male,Saif Ali Jisfih Al-Shuwaili,843 
257 ,State of Law Coalition,32 ,,Alliance,The egg,,Male,"Ibrahim Muhammad Qasim Muhammad
Al-Sakithan Y",844 
257 ,State of Law Coalition,33 ,,Alliance,The egg,,Male,"I am very sorry for the one who
wronged me",845 
257 ,State of Law Coalition,34 ,,Alliance,The egg,,Male,"Qasim Muhammad Abd Ali Matar Al-Husayn
Y",846 
257 ,State of Law Coalition,35 ,,Alliance,The egg,,Male,"Khaled Abdulkadhim Abdulhasir N       Ajil Al Moh-
sen",847 
257 ,State of Law Coalition,36 ,,Alliance,The egg,,Male,"Ahmed Salah Al-Aithikat Al-
Sikthan Y",848 
257 ,State of Law Coalition,37 ,,Alliance,The egg,,Male,"Ali Mahdi Hasir N        Shihab Al-
Fadhili",849 
257 ,State of Law Coalition,38 ,,Alliance,The egg,,Male,Taher Talib Abboud Jaafar Al-Qatrani,850 
257 ,State of Law Coalition,40 ,,Alliance,The egg,,"   female
 ",Ibtisam Latif Abdullah Khadir Al-Yaqout,851 
257 ,State of Law Coalition,41 ,,Alliance,The egg,,Male,زاهر محمدجواد عباس رمانىي القريسىري,852 
257 ,State of Law Coalition,42 ,,Alliance,The egg,,Male,Ayub Salman Shihab Ahmed Al-Jubaili,853 
257 ,State of Law Coalition,43 ,,Alliance,The egg,,"   female
 ","Zainab Ibrahim Naeem Abdul-
Katrani",854 
257 ,State of Law Coalition,44 ,,Alliance,The egg,,Male,Abbas Kazim Ali Ta'ima Al-Salji,855 
257 ,State of Law Coalition,46 ,,Alliance,The egg,,Male,Mohammed Badi Abdullah Jaddi Al-Maliki,856 
257 ,State of Law Coalition,47 ,,Alliance,The egg,,Male,"Abdulhasir N       Ali Hajim Alij Al-Skithen
Y",857 
257 ,State of Law Coalition,48 ,,Alliance,The egg,,Male,Imad Abbas Salem Abboud Al-Saadi,858 
257 ,State of Law Coalition,49 ,,Alliance,The egg,,"   female
 ","Hanan Hassan Hamza Has-
iran Al-Aidani",859 
257 ,State of Law Coalition,50 ,,Alliance,The egg,,Male,Ahmed Jabbar Ta'ima Lafta Al-Maliki,860 
259 ,"National Depth Allia-
nce",1 ,,Alliance,The egg,,Male,"Ahmed Hamid Mohammed Tafer
Y Ali Al-Sahalani",861 
259 ,"National Depth Allia-
nce",2 ,,Alliance,The egg,,Male,"Imad Abdul-Hassan Ali Nasser Al-
Abbas",862 
259 ,"National Depth Allia-
nce",3 ,,Alliance,The egg,,Male,Hisham Hassan Badrqanaan Al-Atthi,863 
259 ,"National Depth Allia-
nce",4 ,,Alliance,The egg,,"   female
 ",Ahlam Sayyi Abdul Hassan Jalham Al-Hashem,864 
259 ,"National Depth Allia-
nce",5 ,,Alliance,The egg,,Male,Adnan Abdul Qader Nasser Hassan Al-Hassan,865 
259 ,"National Depth Allia-
nce",6 ,,Alliance,The egg,,Male,Diaa Raad Qasim Faleh Al-Juwayawi,866 
259 ,"National Depth Allia-
nce",7 ,,Alliance,The egg,,Male,"Ahmed Khalaf Hasir Salman Al Sa-
lman",867 
259 ,"National Depth Allia-
nce",8 ,,Alliance,The egg,,"   female
 ",Samir H       Ali Salman Ali Tak,868 
259 ,"National Depth Allia-
nce",9 ,,Alliance,The egg,,Male,"Karim Ghanem, Jihad Saad Al-Mansouri",869 
259 ,"National Depth Allia-
nce",10 ,,Alliance,The egg,,Male,Imad Muhammad Jafar Abbas Jamshir al-Abbas,870 
259 ,"National Depth Allia-
nce",11 ,,Alliance,The egg,,Male,"Qahtaan Faleh, panic, torment, torment",871 
259 ,"National Depth Allia-
nce",12 ,,Alliance,The egg,,Male,Naseem Jik Adhni Muhammad Al-Saywan,872 
259 ,"National Depth Allia-
nce",13 ,,Alliance,The egg,,Male,Sarmed Luay Jumaa Obaidi Al-Hajjaj,873 
259 ,"National Depth Allia-
nce",14 ,,Alliance,The egg,,"   female
 ",Saham Mohsen Salal Hammadi Al-Zubaidi,874 
259 ,"National Depth Allia-
nce",15 ,,Alliance,The egg,,Male,Ali Ya'rab Muhammad Sadiq Ismail Al-Najm,875 
259 ,"National Depth Allia-
nce",16 ,,Alliance,The egg,,"   female
 ",ندى صادق جعفر مكي الابراهيمیي,876 
259 ,"National Depth Allia-
nce",17 ,,Alliance,The egg,,Male,"Ali Muzail KhalafRasen Y Al-
Muhammadi",877 
259 ,"National Depth Allia-
nce",18 ,,Alliance,The egg,,"   female
 ",Badour Saad Qasim Mohammed Al-Abdullah,878 
259 ,"National Depth Allia-
nce",20 ,,Alliance,The egg,,"   female
 ",Samia Adel Dakhel Issa Al Mohsen,879 
259 ,"National Depth Allia-
nce",21 ,,Alliance,The egg,,Male,"Yaqoub Abdul Nathi Yaqoub Jassim Al-Amir
N",880 
259 ,"National Depth Allia-
nce",22 ,,Alliance,The egg,,Male,Laith Mohammed Ajil Shaltagh Al-Asadi,881 
259 ,"National Depth Allia-
nce",23 ,,Alliance,The egg,,Male,Hazem Kazem Mohammed Aliwi Al-Bahadliyy,882 
259 ,"National Depth Allia-
nce",24 ,,Alliance,The egg,,"   female
 ",Spectra by Basem Joda Laithi Al-Jazaery,883 
259 ,"National Depth Allia-
nce",25 ,,Alliance,The egg,,Male,"Ali Youssef Najm Abdullah Al-
Yin N Al",884 
259 ,"National Depth Allia-
nce",26 ,,Alliance,The egg,,Male,Nima Abdul Ali Marzouq Jiyad Al-Miyaji,885 
259 ,"National Depth Allia-
nce",28 ,,Alliance,The egg,,"   female
 ",Zainab Abdul Rahim Salem Salem Al-Zuhair Y,886 
259 ,"National Depth Allia-
nce",29 ,,Alliance,The egg,,Male,"Mazen Abdel Moneim Jabbar Falih Al-
Maliki",887 
259 ,"National Depth Allia-
nce",30 ,,Alliance,The egg,,Male,"Jawad Mohsen Salem Mohammed Al-
Bahli",888 
259 ,"National Depth Allia-
nce",32 ,,Alliance,The egg,,"   female
 ",Samia Hashim Jassim Saleh Al-Baghdadi,889 
259 ,"National Depth Allia-
nce",33 ,,Alliance,The egg,,"   female
 ","Muthanna Abdul Hamid Rasn
Y Ali Al-Maliki",890 
259 ,"National Depth Allia-
nce",34 ,,Alliance,The egg,,"   female
 ",Hanadi Adel Laithi Hajil Al-Mous,891 
259 ,"National Depth Allia-
nce",36 ,,Alliance,The egg,,"   female
 ",Good morning Yasser Hassan Awad Al-Shuwaili,892 
271 ,Services Alliance,1 ,,Alliance,The egg,,Male,"Thank you, Ali Abdulstar Salman Ashwan",893 
271 ,Services Alliance,2 ,,Alliance,The egg,,Male,Ali Jasib Fakher Hatem Al-Sakr,894 
271 ,Services Alliance,3 ,,Alliance,The egg,,Male,Ahmed Abdel Razzaq Diwan Salman Al-Zamili,895 
271 ,Services Alliance,4 ,,Alliance,The egg,,"   female
 ",فاطمة عباس فاضل والیي البوفياض,896 
271 ,Services Alliance,5 ,,Alliance,The egg,,Male,    Abdullah Ahmed Abbas Ahmed Al-Diraoui,897 
271 ,Services Alliance,6 ,,Alliance,The egg,,Male,"    Abdul Namir Safni, you are
                     a fool",898 
271 ,Services Alliance,7 ,,Alliance,The egg,,Male,   Ismail Ghazi Awda Zuwair Al-Saadi,899 
271 ,Services Alliance,8 ,,Alliance,The egg,,Male,     Sabah Fahd Azghair Awad Al-Awad,900 
271 ,Services Alliance,9 ,,Alliance,The egg,,"   female
 ",اخلاص خضير خليفه عبدالله الوحيلىي,901 
271 ,Services Alliance,10 ,,Alliance,The egg,,Male,"Happy Friday, dear Nasser Al-Asida",902 
271 ,Services Alliance,11 ,,Alliance,The egg,,Male,حازم رشيد عجيمیي روضان الروضان,903 
271 ,Services Alliance,12 ,,Alliance,The egg,,"   female
 ",Echo of Abbas Imran Musa Al-Khafaji,904 
271 ,Services Alliance,13 ,,Alliance,The egg,,Male,Youssef Salah El-Din Youssef Ali Al-Abidi,905 
271 ,Services Alliance,14 ,,Alliance,The egg,,Male,Wameed Jawdat Shaker Mahmoud Al-Sihaq,906 
271 ,Services Alliance,15 ,,Alliance,The egg,,"   female
 "," Fatima Hasir N       Ali Muha-
             mmad Al-Jundi",907 
271 ,Services Alliance,16 ,,Alliance,The egg,,"   female
 ",Suhaila Abdulaziz Abdullah Abdul Razzaq Al-Marabji,908 
271 ,Services Alliance,17 ,,Alliance,The egg,,Male,حيدر حسن علىي حسون زکیي,909 
271 ,Services Alliance,18 ,,Alliance,The egg,,"   female
 ",Buthaina Hamza Abbas Alikh Al-Khafaji,910 
271 ,Services Alliance,19 ,,Alliance,The egg,,Male,"Safaa Abdel-Khaden Abdel-Wahid Hasir N
Al-Muslim",911 
271 ,Services Alliance,20 ,,Alliance,The egg,,Male,Hisham Khamis Ali Jaafar Jaafar,912 
271 ,Services Alliance,21 ,,Alliance,The egg,,Male,Haider Jafar Daboul Ali Al-Nasser,913 
271 ,Services Alliance,22 ,,Alliance,The egg,,"   female
 ",Sarah Alaa Mahdi Mazloum Al-Tamimi,914 
271 ,Services Alliance,23 ,,Alliance,The egg,,Male,"Imad Abdul-Kazem Rasn Y You-
nis Al-Badhi",915 
271 ,Services Alliance,25 ,,Alliance,The egg,,Male,Hassan Ali Ju'um Muhammad Al-Moussawi,916 
271 ,Services Alliance,26 ,,Alliance,The egg,,Male,Walid Breidi Obaid Attia Al-Miyaji,917 
271 ,Services Alliance,28 ,,Alliance,The egg,,Male,Abbas Mahmoud Khadir Mahmoud Al-Jawhar,918 
271 ,Services Alliance,29 ,,Alliance,The egg,,Male,  Aqeel Nasser Aboud Hassan,919 
271 ,Services Alliance,30 ,,Alliance,The egg,,Male,"    Safaa Kazim Mohammed Gh-
                         ayi",920 
271 ,Services Alliance,31 ,,Alliance,The egg,,Male,  Akram Sajit Majeed Abdul-Aboud Al-Nasiri,921 
271 ,Services Alliance,32 ,,Alliance,The egg,,Male, Messenger of Jasb Dalim Muhammad Al-Bandar,922 
271 ,Services Alliance,33 ,,Alliance,The egg,,Male,"       Ali Hasiran is jealous of Attiyah Al-
                                Jaari.",923 
271 ,Services Alliance,34 ,,      Alliance,The egg,,Male,Zain Al-Abidin Ihsan Muhammad Ali Muhammad Al-Dayri,924 
271 ,Services Alliance,35 ,,      Alliance,The egg,,Male,Salem Kazem Ali Mohammed Al-Hijami,925 
271 ,Services Alliance,36 ,,      Alliance,The egg,,Male,"Laith Imad Abdulstar Salman, thank you",926 
271 ,Services Alliance,37 ,,      Alliance,The egg,,Male,Ahmed Jassim Katafa Jassim Al-Maliki,927 
271 ,Services Alliance,38 ,,      Alliance,The egg,,"   female
 ",Safa Abbas Nasser Hasirn Al-Kamaliyy,928 
271 ,Services Alliance,39 ,,      Alliance,The egg,,"   female
 ",مروة عبدالواحد راصني صنيخ البو سليمیي,929 
271 ,Services Alliance,40 ,,      Alliance,The egg,,"   female
 ",Khawla Hasir Salem Dawood Al-Miyaji,930 
271 ,Services Alliance,41 ,,      Alliance,The egg,,"   female
 ",Firdaws Taher Obaid Mutlaq Al-Kannas,931 
271 ,Services Alliance,42 ,,      Alliance,The egg,,Male,Zahraa Mahmoud Khader Mahmoud Al-Jawhar,932 
271 ,Services Alliance,43 ,,      Alliance,The egg,,Male,Imad Fadel supported Yaqoub Al-Zaidi,933 
208 ,"Kawa is kind to
me",1 ,,"Pe-
rson",Sulaymaniyah,,Male,Kawah Latif Ali David Al-Zankanah,934 
216 ,Kurdistan Democratic Party,1 ,,Party,Sulaymaniyah,,Male,        Farhad Tawfiq Hassan Mohammad,935 
216 ,Kurdistan Democratic Party,2 ,,Party,Sulaymaniyah,,Male,"  Dana Mohammed Has-
            eer N Aoul",936 
216 ,Kurdistan Democratic Party,3 ,,Party,Sulaymaniyah,,"   female
 ",     Defar Hiwa Rauf Khalifa,937 
216 ,Kurdistan Democratic Party,4 ,,Party,Sulaymaniyah,,Male,"       Sarkot Mohammed Mohammed Amir
                           N. Sarr Yif",938 
222 ,Patriotic Union of Kurdistan,1 ,,Party,Sulaymaniyah,,Male,  Rikot Hamrashed Karim Mohammed,939 
222 ,Patriotic Union of Kurdistan,2 ,,Party,Sulaymaniyah,,Male,       Awat Mohammad Ghafoor Maroof,940 
222 ,Patriotic Union of Kurdistan,3 ,,Party,Sulaymaniyah,,Male,   Barzan Mohammad Ali Faraj Hasirn,941 
222 ,Patriotic Union of Kurdistan,4 ,,Party,Sulaymaniyah,,"   female
 ","   Nahla Mohammed Saeed Mo-
             hammed Bebanan",942 
222 ,Patriotic Union of Kurdistan,5 ,,Party,Sulaymaniyah,,Male,       Hair Sh Messenger Murad Hamsour,943 
222 ,Patriotic Union of Kurdistan,6 ,,Party,Sulaymaniyah,,Male,"       Gharib Ahmed Mustafa Am-
                           iran",944 
222 ,Patriotic Union of Kurdistan,7 ,,Party,Sulaymaniyah,,Male,"  The three ranks of Ali Mohammad
                     Moradavis",945 
222 ,Patriotic Union of Kurdistan,8 ,,Party,Sulaymaniyah,,"   female
 ",       Shahid Yada Hadi Karim Mahmoud,946 
222 ,Patriotic Union of Kurdistan,9 ,,Party,Sulaymaniyah,,Male,"I see Marouf Hasirn Moham-
med",947 
222 ,Patriotic Union of Kurdistan,10 ,,Party,Sulaymaniyah,,Male,   Kazin Asu Omar Mohammad,948 
222 ,Patriotic Union of Kurdistan,11 ,,Party,Sulaymaniyah,,Male,     Chalak Qadir Ismail Qadir,949 
222 ,Patriotic Union of Kurdistan,12 ,,Party,Sulaymaniyah,,"   female
 "," Not Ramir, not Maroof Ghafoor Moham-
                           mad Amir.",950 
222 ,Patriotic Union of Kurdistan,13 ,,Party,Sulaymaniyah,,Male,"   Atta Abdullah Saleh Hamamir
                        N",951 
222 ,Patriotic Union of Kurdistan,14 ,,Party,Sulaymaniyah,,Male,Beeston Abdul Rahman Hamma Ahmed,952 
222 ,Patriotic Union of Kurdistan,15 ,,Party,Sulaymaniyah,,Male,      I am sorry for Ahmed Abdullah,953 
222 ,Patriotic Union of Kurdistan,16 ,,Party,Sulaymaniyah,,"female
 ",Mahabad Mohammad Amir Abdullah Ahmad Barzanj,954 
222 ,Patriotic Union of Kurdistan,17 ,,Party,Sulaymaniyah,,Male," Saleh Othman Khadhan Ot-
                  hman",955 
222 ,Patriotic Union of Kurdistan,18 ,,Party,زنکنە لیمانSulaymaniyaسh,,دامیر نMaleم محم,سرر يیف رحی,956 
222 ,Patriotic Union of Kurdistan,19 ,,Party,Sulaymaniyah,,Male,       Hello Mahmoud Marf Muhammad,957 
222 ,Patriotic Union of Kurdistan,20 ,,Party,Sulaymaniyah,,"female
 ",   Lili Karim Hammadi Bakr,958 
222 ,Patriotic Union of Kurdistan,21 ,,Party,Sulaymaniyah,,Male,"    Sardar Fafari Mohammad Gh-
                  aidan Qadir",959 
222 ,Patriotic Union of Kurdistan,22 ,,Party,Sulaymaniyah,,Male,   Aras Abed Akram Othman,960 
222 ,Patriotic Union of Kurdistan,23 ,,Party,Sulaymaniyah,,Male,    Gutiar Mahmoud Aziz Abdullah,961 
222 ,Patriotic Union of Kurdistan,24 ,,Party,Sulaymaniyah,,"female
 ",The famous creation ofMr. Mohammad Ramzi,962 
222 ,Patriotic Union of Kurdistan,25 ,,Party,Sulaymaniyah,,"female
 ","The Path of One Bahjat Aon-
ani",963 
222 ,Patriotic Union of Kurdistan,26 ,,Party,Sulaymaniyah,,Male,"Briar Rashid Sirr YifMu-
hammad",964 
